reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
6ae43247-d545-46ab-aeac-83e3d2d69bf3,dot keady,https://play-lh.googleusercontent.com/a/AGNmyxZIP9l1AtX0nPoMZxIiB3u9yEjNpGY2JgZoO8Jz=mo,It helps a lot. CV already uploaded so dont have to mess about,5,0,4.4.0,2020-07-24 16:37:44,,
814ff14b-dce4-4575-91b5-281a8bf7d0f2,Laura Del Col Brown,https://play-lh.googleusercontent.com/a-/ACB-R5RRM4uAvbxsvwkJ2y52p4W5hgeTPdRcv94bzy0L4Q,"Works solely by keyword matching and will show you all jobs that have even one of your keywords in the title. Fine if you're a butcher, baker or candlestick maker; less so if you're a coordinator, advisor or have a job that could be described by many different titles. No way to restrict searches by sector that I could find. Also seems to ignore preferences for contract type and pay, and location settings are far too broad for London. After 15 minutes of swiping left, I gave up.",2,31,,2020-07-21 02:58:28,,
5c871d89-9e75-4377-9663-5e393a79db4f,Karleen Cogill,https://play-lh.googleusercontent.com/a/AGNmyxaIawnYu-bXjuM8No2cJHFVZ3LFx5OLFNPVkAXZ=mo,It doesn't bring up jobs in my area or even near and no matter how many times I put in work I do or dont want it just brings up any thing,1,0,4.3.0,2020-07-14 13:20:15,,
3cf4dcfe-37f8-486d-b957-a81b4944da1d,M Organ,https://play-lh.googleusercontent.com/a/AGNmyxbA8ncuwFtB7D2aJTp8oV70FJK0o5wusDg_Riwp=mo,It doesn't return jobs even remotely connected to my search criteria.,1,1,4.2.0,2020-06-21 06:55:02,,
f62345fd-b40c-4480-ba1f-da347b9c088a,Rowlins M,https://play-lh.googleusercontent.com/a-/ACB-R5Rjfpi6WEfetSUYKPE60nXYGshV2lbpkrb92Z3p,Job filtering does not work,3,0,4.2.0,2020-06-20 02:52:43,,
d296a79c-d0bc-4f14-879e-d8d3a4c098a6,TheMikes,https://play-lh.googleusercontent.com/a-/ACB-R5Sf-O221IACVX5T9SW1ul3pzKS2YKlAAaCvkQbsgQ,Quality,5,0,4.2.0,2020-06-19 07:35:10,,
c1f24dde-beb3-4023-9489-6239a8174562,Cara Brooke,https://play-lh.googleusercontent.com/a-/ACB-R5QhmNbLgbw5LNQe6kUywOm_hcAjUpmWpSrYST53zQ,"I like the concept.. however I cant seem to upload my cv, it either cant read the file or it says connection error.. and I've tried pdf and xdoc..",2,6,4.2.0,2020-06-15 16:14:06,,
3ab14560-c384-48c3-9ee2-3dbf73a00f6d,Marta Onofre,https://play-lh.googleusercontent.com/a-/ACB-R5S98rwzbE5a-4laxPr-hV0OQzgkU5IL_pyjwkbIvA,"The app works fine but for some reason, no matter how many times I put the type of job I want (in this case designer) it only shows and suggests me things that have nothing to do with what I want. I get notifications on jobs like nurse, engineer, consultant...",3,31,4.2.0,2020-06-13 17:28:45,,
90776214-acf7-4da1-99f6-21449e98e716,Mr Ben,https://play-lh.googleusercontent.com/a-/ACB-R5TaUlhhkR_VM4gMFtSBeCXzhvZmpxvCmrmq4jQOBg,"Easy to use. The only problem I have: No jobs advertise in my area. You put in certain key words for the job search, and you get something completely different. The same ADs keep coming up all the time.",2,28,4.2.0,2020-06-07 06:22:54,,
8468239c-0746-4cc1-96a3-b3bf86be6511,Nixus Arcticus,https://play-lh.googleusercontent.com/a-/ACB-R5RgmOlROR5taDmXIRlhqvYJCUMTNOwjBM3gDItLTw,Good so far,5,0,4.2.0,2020-06-04 11:25:51,,
fdb902a9-e0ac-4261-b09e-c1531c733831,Robin Moore,https://play-lh.googleusercontent.com/a-/ACB-R5QZ6QwSbiq-B_X4U6aCoCgaM35N6vj5Z5y4Hq5T,Absolutely useless,1,0,,2020-05-28 03:53:59,,
